rank,title,url,primary_keyword,search_volume,competition_index,cpc,content_type,intent,score,challenges
1,How to promote your YouTube channel?,https://invideo.io/blog/how-to-promote-your-youtube-channel/,promote your youtube channel,720,HIGH,10.02,how_to,interest,5.5,low
2,How to remove sound from an iPhone Video in under 5 Mins,https://invideo.io/blog/how-to-remove-sound-from-iphone-video/,remove sound from an iphone video,10,LOW,,how_to,interest,4.5,low
3,How Does the Instagram Algorithm Work?,https://invideo.io/blog/instagram-algorithm/,how does the instagram algorithm work,390,LOW,0.02,other,interest,4,low
4,How To Edit Videos on Android Phones | Quick & Easy,https://invideo.io/blog/how-to-edit-videos-on-android/,edit videos on android phones quick,,,,how_to,interest,3.5,low
5,What's the Best Video Camera for YouTube? | Expert Insights,https://invideo.io/blog/video-camera-for-youtube/,what s the video camera for,,,,other,interest,2.5,low
6,4 Rules to Create Cinematic Composition in Your Shots | Filmmaking 101,https://invideo.io/blog/cinematic-composition-videos/,4 rules to create cinematic composition,,,,other,interest,2.5,low
7,How to Grow with Real Estate YouTube Marketing in 2025: Complete Guide,https://invideo.io/blog/real-estate-youtube-marketing/,grow with real estate youtube marketing,,,,how_to,interest,2.0,low
8,"Hustle Your Way to at Least 10,000 Users/Month via YouTube",https://invideo.io/blog/youtube-marketing-hack/,hustle your way to at least,,,,other,interest,2,low
9,Case Study: How We Growth-Hacked Our Way to a Better Sign-Up Rate,https://invideo.io/blog/growth-hacking-sign-up-rate/,case study how we growth hacked,,,,other,interest,1.5,low
10,7 High-Converting Examples of eCommerce Product Videos with Templates,https://invideo.io/blog/product-video-ideas-with-templates/,7 high converting examples of ecommerce,,,,other,interest,1.5,low
